"","idealpoint","polity2","democ","unreg","physint","speech","gdp.pc.wdi","pop.wdi","cinc","domestic9"
"Angola",-0.4378152,-3,1,2,1,0,606.272292244341,16.5274623379992,0.0019218,0
"Albania",1.256826,5,6,150,3,1,1175.78898073398,14.9433667125553,0.0005688,0
"United Arab Emirates",-0.6322145,-8,0,142,7,0,34207.5389498903,14.9306941149161,0.0023034,0
"Armenia",0.272624,5,6,142,4,1,621.424826318947,14.939172468658,0.0006989,0
"Australia",0.9546293,10,10,9,7,2,21665.1154539573,16.7679699192848,0.0067379,0
"Azerbaijan",0.06481093,-7,0,142,4,0,655.097432602586,15.9010087212266,0.0013071,0
"Burundi",-0.6199853,-1,1,2,1,0,128.635536499035,15.7275792028021,0.0005448,1875
"Belgium",1.280269,10,10,150,8,1,23207.4059110078,16.1429102073328,0.0053823,0
"Burkina Faso",-0.8145458,-3,0,2,4,1,226.801607824507,16.2672002492754,0.000511,0
"Bangladesh",-0.8263455,6,6,142,2,0,406.531740491075,18.6928486339198,0.0065141,0
"Bulgaria",1.083779,8,8,150,4,1,1609.2805861652,15.9160005192462,0.0018188,125
"Bahrain",-0.8319221,-9,0,142,3,0,13590.5210501438,13.4103279099605,0.000435,0
"Belarus",-0.3786229,-7,0,150,4,0,1273.0491239487,16.118595526,0.0027704,0
"Bolivia",-0.1594081,9,9,419,4,1,1007.00286888451,15.9365152594335,0.0009406,1687
"Brazil",0.02465715,8,8,419,2,2,3738.71941172048,18.9847804128234,0.0251966,812
"Bhutan",-0.838826,-10,0,142,4,0,778.391266016094,13.2431410358099,0.0001204,0
"Canada",1.169867,10,10,21,7,1,24031.9512017887,17.2420409974944,0.01182,437
"Chile",-0.03522394,9,9,419,4,2,5229.17709770803,16.534855861876,0.0031497,0
"China",-0.6912239,-7,0,142,3,0,954.552291730423,20.956474564004,0.1557135,875
"Ivory Coast",-0.6073195,4,5,2,1,1,648.810764066209,16.619958105267,0.0008875,4312
"Cameroon",-0.6659527,-4,1,2,1,1,583.094838239344,16.5835711059802,0.0007732,0
"Congo",-0.7667057,-6,0,2,3,1,1035.58446246805,14.9498982082957,0.0003424,0
"Colombia",-0.3289812,7,7,419,0,2,2472.19777585519,17.5144383331797,0.0052601,8687
"Cuba",-1.41284,-7,0,419,4,0,2749.4634915646,16.2239668661869,0.0014429,250
"Czech Republic",1.188754,10,10,150,7,1,5994.52827686543,16.1432820928145,0.0029744,0
"Dominican Republic",-0.3031811,8,8,419,4,2,2802.42404406799,15.9629171264129,0.0008058,437
"Algeria",-1.021058,-3,1,2,4,1,1757.01197444151,17.2554047335067,0.0053109,1875
"Ecuador",-0.3425568,6,6,419,6,1,1451.2907755099,16.351474324252,0.0015271,4937
"Egypt",-1.090076,-6,0,2,4,1,1461.01825941042,18.0399312481701,0.0091751,0
"Eritrea",-0.5431108,-6,0,2,6,1,199.813194181276,15.0782679864664,0.0017314,0
"Spain",1.108349,10,10,150,4,2,14787.756063671,17.5109488557606,0.0109822,3500
"Finland",1.198106,10,10,150,8,2,24253.2504245786,15.4595834930185,0.0023088,0
